Keyword	MSc Course	Number of theses
magazine	Design & Engineering	0
magazine	Communication Design	8
magazine	Fashion Design	6
magazine	Interior Design	0
magazine	Service Design	2
magazine	Product Design	0
product	Design & Engineering	2
product	Communication Design	0
product	Fashion Design	0
product	Interior Design	0
product	Service Design	5
product	Product Design	9
data visualization	Design & Engineering	0
data visualization	Communication Design	16
data visualization	Fashion Design	0
data visualization	Interior Design	0
data visualization	Service Design	0
data visualization	Product Design	0
information	Design & Engineering	0
information	Communication Design	10
information	Fashion Design	1
information	Interior Design	1
information	Service Design	2
information	Product Design	2
format	Design & Engineering	0
format	Communication Design	13
format	Fashion Design	1
format	Interior Design	1
format	Service Design	0
format	Product Design	1
advertising	Design & Engineering	0
advertising	Communication Design	13
advertising	Fashion Design	0
advertising	Interior Design	0
advertising	Service Design	0
advertising	Product Design	3
augmented reality	Design & Engineering	3
augmented reality	Communication Design	11
augmented reality	Fashion Design	0
augmented reality	Interior Design	0
augmented reality	Service Design	1
augmented reality	Product Design	1
website	Design & Engineering	0
website	Communication Design	9
website	Fashion Design	1
website	Interior Design	1
website	Service Design	4
website	Product Design	1
energy	Design & Engineering	1
energy	Communication Design	2
energy	Fashion Design	1
energy	Interior Design	2
energy	Service Design	4
energy	Product Design	5
school	Design & Engineering	1
school	Communication Design	6
school	Fashion Design	0
school	Interior Design	7
school	Service Design	0
school	Product Design	1
customization	Design & Engineering	4
customization	Communication Design	0
customization	Fashion Design	1
customization	Interior Design	1
customization	Service Design	1
customization	Product Design	8
social media	Design & Engineering	0
social media	Communication Design	11
social media	Fashion Design	1
social media	Interior Design	0
social media	Service Design	2
social media	Product Design	1
development	Design & Engineering	2
development	Communication Design	2
development	Fashion Design	0
development	Interior Design	6
development	Service Design	1
development	Product Design	4
typography	Design & Engineering	0
typography	Communication Design	14
typography	Fashion Design	0
typography	Interior Design	0
typography	Service Design	1
typography	Product Design	0
sound	Design & Engineering	1
sound	Communication Design	4
sound	Fashion Design	0
sound	Interior Design	4
sound	Service Design	0
sound	Product Design	5
green	Design & Engineering	1
green	Communication Design	3
green	Fashion Design	0
green	Interior Design	5
green	Service Design	1
green	Product Design	4
future	Design & Engineering	1
future	Communication Design	2
future	Fashion Design	3
future	Interior Design	1
future	Service Design	3
future	Product Design	4
video	Design & Engineering	0
video	Communication Design	13
video	Fashion Design	0
video	Interior Design	1
video	Service Design	0
video	Product Design	0
guide	Design & Engineering	0
guide	Communication Design	11
guide	Fashion Design	0
guide	Interior Design	0
guide	Service Design	3
guide	Product Design	0
water	Design & Engineering	0
water	Communication Design	0
water	Fashion Design	1
water	Interior Design	8
water	Service Design	1
water	Product Design	4
interface	Design & Engineering	2
interface	Communication Design	8
interface	Fashion Design	1
interface	Interior Design	1
interface	Service Design	0
interface	Product Design	2
handicraft	Design & Engineering	1
handicraft	Communication Design	2
handicraft	Fashion Design	4
handicraft	Interior Design	0
handicraft	Service Design	0
handicraft	Product Design	7
visualization	Design & Engineering	0
visualization	Communication Design	14
visualization	Fashion Design	0
visualization	Interior Design	0
visualization	Service Design	0
visualization	Product Design	0
exhibit	Design & Engineering	1
exhibit	Communication Design	7
exhibit	Fashion Design	2
exhibit	Interior Design	77
exhibit	Service Design	4
exhibit	Product Design	3
project	Design & Engineering	1
project	Communication Design	5
project	Fashion Design	0
project	Interior Design	2
project	Service Design	0
project	Product Design	5
tablet	Design & Engineering	1
tablet	Communication Design	10
tablet	Fashion Design	0
tablet	Interior Design	0
tablet	Service Design	1
tablet	Product Design	1
branding	Design & Engineering	0
branding	Communication Design	9
branding	Fashion Design	0
branding	Interior Design	0
branding	Service Design	4
branding	Product Design	0
park	Design & Engineering	0
park	Communication Design	2
park	Fashion Design	0
park	Interior Design	9
park	Service Design	0
park	Product Design	2
smart city	Design & Engineering	1
smart city	Communication Design	5
smart city	Fashion Design	0
smart city	Interior Design	2
smart city	Service Design	1
smart city	Product Design	4
product service system	Design & Engineering	0
product service system	Communication Design	0
product service system	Fashion Design	0
product service system	Interior Design	0
product service system	Service Design	10
product service system	Product Design	3
process	Design & Engineering	1
process	Communication Design	2
process	Fashion Design	1
process	Interior Design	2
process	Service Design	0
process	Product Design	7
installation	Design & Engineering	0
installation	Communication Design	1
installation	Fashion Design	0
installation	Interior Design	11
installation	Service Design	0
installation	Product Design	1
open source	Design & Engineering	2
open source	Communication Design	0
open source	Fashion Design	1
open source	Interior Design	6
open source	Service Design	1
open source	Product Design	3
interior	Design & Engineering	2
interior	Communication Design	0
interior	Fashion Design	0
interior	Interior Design	31
interior	Service Design	1
interior	Product Design	5
market	Design & Engineering	0
market	Communication Design	3
market	Fashion Design	0
market	Interior Design	7
market	Service Design	0
market	Product Design	3
body	Design & Engineering	0
body	Communication Design	0
body	Fashion Design	8
body	Interior Design	1
body	Service Design	0
body	Product Design	4
theatre	Design & Engineering	0
theatre	Communication Design	1
theatre	Fashion Design	1
theatre	Interior Design	9
theatre	Service Design	0
theatre	Product Design	1
kitchen	Design & Engineering	3
kitchen	Communication Design	0
kitchen	Fashion Design	0
kitchen	Interior Design	1
kitchen	Service Design	1
kitchen	Product Design	6
wellness	Design & Engineering	2
wellness	Communication Design	0
wellness	Fashion Design	4
wellness	Interior Design	4
wellness	Service Design	0
wellness	Product Design	2
L'Aquila	Design & Engineering	0
L'Aquila	Communication Design	0
L'Aquila	Fashion Design	0
L'Aquila	Interior Design	11
L'Aquila	Service Design	1
L'Aquila	Product Design	0
e-commerce	Design & Engineering	0
e-commerce	Communication Design	1
e-commerce	Fashion Design	2
e-commerce	Interior Design	1
e-commerce	Service Design	6
e-commerce	Product Design	2
services	Design & Engineering	0
services	Communication Design	1
services	Fashion Design	0
services	Interior Design	2
services	Service Design	3
services	Product Design	6
makers	Design & Engineering	4
makers	Communication Design	1
makers	Fashion Design	1
makers	Interior Design	1
makers	Service Design	1
makers	Product Design	4
additive manufacturing	Design & Engineering	9
additive manufacturing	Communication Design	0
additive manufacturing	Fashion Design	1
additive manufacturing	Interior Design	0
additive manufacturing	Service Design	0
additive manufacturing	Product Design	2
craftsmanship	Design & Engineering	1
craftsmanship	Communication Design	2
craftsmanship	Fashion Design	3
craftsmanship	Interior Design	1
craftsmanship	Service Design	2
craftsmanship	Product Design	3
smartphone	Design & Engineering	1
smartphone	Communication Design	5
smartphone	Fashion Design	0
smartphone	Interior Design	0
smartphone	Service Design	2
smartphone	Product Design	4
awareness	Design & Engineering	1
awareness	Communication Design	4
awareness	Fashion Design	0
awareness	Interior Design	0
awareness	Service Design	3
awareness	Product Design	4
social communication	Design & Engineering	0
social communication	Communication Design	12
social communication	Fashion Design	0
social communication	Interior Design	0
social communication	Service Design	0
social communication	Product Design	0
textile	Design & Engineering	0
textile	Communication Design	0
textile	Fashion Design	7
textile	Interior Design	3
textile	Service Design	0
textile	Product Design	2
movement	Design & Engineering	1
movement	Communication Design	0
movement	Fashion Design	2
movement	Interior Design	7
movement	Service Design	2
movement	Product Design	0
color	Design & Engineering	0
color	Communication Design	5
color	Fashion Design	4
color	Interior Design	10
color	Service Design	1
color	Product Design	2
leather	Design & Engineering	1
leather	Communication Design	0
leather	Fashion Design	10
leather	Interior Design	0
leather	Service Design	0
leather	Product Design	1
user experience	Design & Engineering	0
user experience	Communication Design	8
user experience	Fashion Design	0
user experience	Interior Design	0
user experience	Service Design	3
user experience	Product Design	1
LED	Design & Engineering	4
LED	Communication Design	0
LED	Fashion Design	0
LED	Interior Design	0
LED	Service Design	0
LED	Product Design	8
emotion	Design & Engineering	4
emotion	Communication Design	7
emotion	Fashion Design	3
emotion	Interior Design	5
emotion	Service Design	3
emotion	Product Design	3
library	Design & Engineering	0
library	Communication Design	1
library	Fashion Design	0
